,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,adrenaline_mean,round_mean,experiment_times
336,5,4,5,80.49,2.6509,2.9401,5.4518,10000
337,5,5,0,100.0,0.0,2.0158,2.4144,10000
338,5,5,1,99.96,0.4892,2.3142,2.9088,10000
339,5,5,2,98.12,1.0854,2.5533,3.5491,10000
340,5,5,3,92.37,1.7685,2.7743,4.3610000000000015,10000
341,5,5,4,83.97,2.4227,2.9296,5.2497,10000
342,5,5,5,75.32,2.9141,3.1231,6.1029,10000
343,5,6,0,100.0,0.0,2.332,2.7974,10000
344,5,6,1,99.84,0.5476,2.6531,3.3455,10000
345,5,6,2,96.93,1.2547,2.8841,4.0968,10000
346,5,6,3,88.99000000000002,2.0226,3.0787,5.0022,10000
347,5,6,4,79.2,2.6747,3.2518,5.9272,10000
348,5,6,5,70.02000000000001,3.1393,3.4076,6.7666,10000
349,5,7,0,100.0,0.0,2.6487,3.1996,10000
350,5,7,1,99.77,0.6273,2.9449,3.7964,10000
351,5,7,2,94.95,1.4166,3.1876,4.6368,10000
352,5,7,3,85.19,2.2512,3.3436,5.6256,10000
353,5,7,4,72.75,2.9556,3.437,6.5737,10000
354,5,7,5,64.01,3.3853,3.5412,7.4018,10000
355,5,8,0,100.0,0.0,2.9543,3.5906,10000
356,5,8,1,99.54,0.7081,3.2778,4.2711,10000
357,5,8,2,93.48,1.6181,3.5264,5.2395,10000
358,5,8,3,81.44,2.4659,3.5947,6.218999999999999,10000
359,5,8,4,68.45,3.1678,3.6156,7.2077,10000
360,5,8,5,58.39,3.58,3.718,7.9618,10000
361,5,9,0,100.0,0.0,3.3448,4.0001,10000
362,5,9,1,99.54,0.7914,3.6010000000000004,4.7533,10000
363,5,9,2,90.81,1.7861,3.8083,5.8314,10000
364,5,9,3,77.45,2.6867,3.8242,6.8651,10000
365,5,9,4,62.17,3.4093,3.8536,7.8748,10000
366,5,9,5,53.28000000000001,3.7573,3.9116,8.5301,10000
367,5,10,0,100.0,0.0,3.6395,4.3954,10000
368,5,10,1,99.2,0.8585,3.9048,5.2224,10000
369,5,10,2,88.53999999999998,1.9691,4.0535,6.3867,10000
370,5,10,3,72.46000000000002,2.9139999999999997,4.0710000000000015,7.5241,10000
371,5,10,4,57.22000000000001,3.5698,4.0062,8.392000000000001,10000
372,5,10,5,47.53,3.9345,4.0417,9.0607,10000
373,6,0,1,100.0,0.1705,1.0203,1.0154,10000
374,6,0,2,100.0,0.3605,1.1095,1.1165,10000
375,6,0,3,99.97,0.5942,1.3135,1.3738,10000
376,6,0,4,99.83,0.8875,1.6694,1.8087,10000
377,6,0,5,98.99,1.2439,2.0001,2.2961,10000
378,6,1,0,100.0,0.0,1.0033,1.0164,10000
379,6,1,1,100.0,0.1815,1.0826,1.1112,10000
380,6,1,2,100.0,0.4089,1.3107,1.3728,10000
381,6,1,3,99.93,0.7106,1.6665,1.7729,10000
382,6,1,4,99.55,1.0871,1.9768,2.2474,10000
383,6,1,5,98.27,1.5273,2.2929,2.7744,10000
384,6,2,0,100.0,0.0,1.1264,1.1109,10000
385,6,2,1,100.0,0.2253,1.3663,1.3717,10000
386,6,2,2,99.99,0.5143,1.6692,1.7416,10000
387,6,2,3,99.71,0.8899,2.0248,2.2107,10000
388,6,2,4,98.9,1.3374,2.3163,2.6915,10000
389,6,2,5,96.48,1.8575,2.5839,3.2889,10000
390,6,3,0,100.0,0.0,1.3493,1.3633,10000
391,6,3,1,100.0,0.3003,1.7112,1.7519999999999998,10000
392,6,3,2,99.96,0.654,2.0607,2.1641,10000
393,6,3,3,99.34,1.1057,2.3254,2.6188,10000
394,6,3,4,97.47,1.6275,2.635,3.18,10000
395,6,3,5,94.48,2.1654,2.8769,3.8301,10000
396,6,4,0,100.0,0.0,1.7341,1.7332,10000
397,6,4,1,100.0,0.3603,2.0688,2.1241,10000
398,6,4,2,99.92,0.7796,2.3835,2.5318,10000
399,6,4,3,98.65,1.3002,2.6307,3.0298,10000
400,6,4,4,96.0,1.8831,2.9393,3.6933,10000
401,6,4,5,91.6,2.4807,3.1059,4.4096,10000
402,6,5,0,100.0,0.0,2.092,2.1094,10000
403,6,5,1,100.0,0.4117,2.4004,2.4713,10000
404,6,5,2,99.77,0.9211,2.6649,2.918,10000
405,6,5,3,98.02,1.5014,2.9526,3.4965,10000
406,6,5,4,94.07,2.1363,3.1898,4.2061,10000
407,6,5,5,88.36,2.7869,3.4186,5.0311,10000
408,6,6,0,100.0,0.0,2.4403,2.4258,10000
409,6,6,1,100.0,0.4686,2.7002,2.8137,10000
410,6,6,2,99.36,1.0342,2.9913,3.3080000000000003,10000
411,6,6,3,97.29,1.6684,3.2502,3.9455,10000
412,6,6,4,91.69,2.4257,3.4882,4.7696,10000
413,6,6,5,84.22,3.0685,3.6693,5.6258,10000
414,6,7,0,100.0,0.0,2.7153,2.7423,10000
415,6,7,1,99.97,0.5278,3.0293,3.1732,10000
416,6,7,2,99.23,1.1715,3.3568,3.7587,10000
417,6,7,3,95.28,1.9448,3.5701,4.4913,10000
418,6,7,4,88.44,2.6971,3.7878,5.3566,10000
419,6,7,5,80.67,3.3176,3.8895,6.1875,10000
420,6,8,0,100.0,0.0,3.0743,3.0857,10000
421,6,8,1,99.98,0.5948,3.3287,3.5322,10000
422,6,8,2,98.77,1.2977,3.6396,4.1572,10000
423,6,8,3,93.56,2.1583,3.8361,5.0083,10000
424,6,8,4,84.94,2.9322,4.0252,5.9252,10000
425,6,8,5,75.92999999999998,3.6013,4.1654,6.8501,10000
426,6,9,0,100.0,0.0,3.4339999999999997,3.4212,10000
